,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
458,14.631538391113281,8.331313133239746,23.352031707763672,1.9981558322906494,-0.9647763967514038,-1.5715059041976929,1.0514781475067139,1.9393020868301392,0.3300839364528656,-0.14820916950702667,-3.064863681793213,-1.3999402523040771,-1.0,1.0,1.0,-1.0,0.47829312086105347,-1.6649234294891357,0.7725833318607274,1.8868495894738484,0.0,8.580572867762449,11.889201369403601,1.0
2868,41.38816452026367,13.074392318725586,30.982622146606445,5.268075942993164,0.2581392526626587,-0.12350132316350937,-0.9728108644485474,-0.7004649639129639,-3.031783103942871,-2.7065746784210205,0.16441446542739868,-0.1724248081445694,1.0,-1.0,1.0,-1.0,-0.3252084255218506,0.3368392586708069,0.5014080721669905,0.43316622181379366,1.0,11.683446035582891,5.525017117430236,1.0
211,33.224891662597656,4.7364020347595215,27.85391616821289,6.145246505737305,-0.2805265188217163,0.08815547823905945,-1.4589688777923584,-2.2629358768463135,-1.8198654651641846,-2.432988405227661,1.0464054346084595,1.3966730833053589,-1.0,1.0,1.0,-1.0,0.6131229400634766,-0.3502676486968994,0.715434241973924,0.8769551649266208,2.0,8.885981986507867,11.726598099331417,1.0
673,31.998046875,23.845165252685547,36.00719451904297,10.14356517791748,1.4828497171401978,1.2092475891113281,0.5935211181640625,0.7824360728263855,2.014012575149536,2.1354477405548096,-0.7540768384933472,-1.2839926481246948,-1.0,1.0,1.0,-1.0,-0.12143516540527344,0.5299158096313477,0.29934031445652637,0.5625829942260202,3.0,8.289244112435654,10.642362663283908,1.0
917,14.80137825012207,3.409801959991455,23.210895538330078,9.97113037109375,-0.3088759183883667,0.1726558655500412,0.7894657850265503,0.3011392652988434,-2.269960641860962,-2.6281661987304688,1.1017992496490479,1.231890082359314,-1.0,1.0,1.0,-1.0,0.35820555686950684,-0.1300908327102661,0.6001533922805609,0.5053577095727589,4.0,4.282211785388697,7.7592736473168396,1.0
907,18.447063446044922,12.654953002929688,35.065330505371094,6.626217842102051,-0.8496993184089661,-0.43988168239593506,-1.140015721321106,-1.194422721862793,0.2569398283958435,0.6311615705490112,-2.462948799133301,-2.860685348510742,1.0,-1.0,-1.0,1.0,-0.3742217421531677,0.3977365493774414,0.5549706362389465,0.4014405116808928,5.0,8.489516846966477,6.0796787188301575,1.0
4491,30.15116310119629,7.857625484466553,36.05120086669922,18.45078468322754,-0.9326270222663879,-0.9247372150421143,-0.032734215259552,-0.22666673362255096,-1.0405840873718262,-0.6112018823623657,2.330747127532959,2.3157784938812256,1.0,-1.0,1.0,-1.0,-0.42938220500946045,0.014968633651733398,0.4294546856617384,0.19450933569372636,6.0,6.559559706586157,5.024401243162519,1.0
2904,38.428009033203125,4.0565009117126465,24.377702713012695,17.069120407104492,1.3912279605865479,1.01693594455719,0.36068013310432434,0.7628718614578247,1.9013279676437378,1.7057615518569946,-1.2746611833572388,-0.8619407415390015,-1.0,1.0,1.0,-1.0,0.19556641578674316,-0.4127204418182373,0.42230408031061506,0.5762780140267515,7.0,5.295044461345174,11.751555836928516,1.0
243,37.2127685546875,13.341041564941406,23.625202178955078,19.402175903320312,-0.7513402700424194,-1.2506662607192993,-0.4839688837528229,-0.30933332443237305,-0.3540038764476776,-0.6263755559921265,2.6096065044403076,2.880692481994629,-1.0,1.0,1.0,-1.0,0.27237167954444885,-0.2710859775543213,0.5687818358415742,0.32246734068080185,8.0,12.766218253159188,6.891633102491503,1.0
2613,18.860441207885742,13.75037670135498,12.631355285644531,10.212814331054688,-1.1353256702423096,-1.004421591758728,-0.02920536696910858,-0.22647038102149963,2.1727964878082275,2.5099990367889404,1.7406378984451294,1.748853087425232,1.0,-1.0,1.0,-1.0,-0.3372025489807129,-0.008215188980102539,0.3617201083748673,0.19743600254023794,9.0,5.801741027712438,2.2460878374074693,1.0
1061,17.208486557006836,16.441883087158203,24.629907608032227,9.401331901550293,-1.969788908958435,-1.5652514696121216,-1.068141222000122,-1.1835285425186157,0.02985520102083683,0.41443759202957153,-2.8552563190460205,-3.0898380279541016,1.0,-1.0,-1.0,1.0,-0.38458240032196045,0.23458170890808105,0.5581703704696918,0.26142458164960936,10.0,9.395359524774975,3.971163854510387,1.0
