,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
3377,14.631538391113281,23.352031707763672,8.331313133239746,1.9981558322906494,-0.9647763967514038,1.0514781475067139,-1.5715059041976929,1.9393020868301392,0.3300839364528656,-3.064863681793213,-0.14820916950702667,-1.3999402523040771,-1.0,1.0,1.0,-1.0,3.3949475288391113,1.251731038093567,3.94853778380045,3.727278275309167,0.0,57.21074603473483,23.394992317345988,0.0
1476,30.982622146606445,13.074392318725586,41.38816452026367,5.268075942993164,-0.9728108644485474,-0.12350132316350937,0.2581392526626587,-0.7004649639129639,0.16441446542739868,-2.7065746784210205,-3.031783103942871,-0.1724248081445694,1.0,-1.0,1.0,-1.0,2.8709890842437744,-2.859358310699463,2.9939781323068817,3.0157672312369614,1.0,43.600688386767146,32.72720081074989,0.0
2716,33.224891662597656,27.85391616821289,4.7364020347595215,6.145246505737305,-0.2805265188217163,-1.4589688777923584,0.08815547823905945,-2.2629358768463135,-1.8198654651641846,1.0464054346084595,-2.432988405227661,1.3966730833053589,-1.0,1.0,1.0,-1.0,-2.8662710189819336,-3.8296613693237305,3.099070174693052,4.493766449625932,2.0,71.2252905772113,18.79549528720041,0.0
1912,31.998046875,36.00719451904297,23.845165252685547,10.14356517791748,1.4828497171401978,0.5935211181640625,1.2092475891113281,0.7824360728263855,2.014012575149536,-0.7540768384933472,2.1354477405548096,-1.2839926481246948,-1.0,1.0,1.0,-1.0,2.7680892944335938,3.419440269470215,2.9074428109448216,3.4459744379359503,3.0,73.63886457287006,31.52272244868499,0.0
2796,9.97113037109375,3.409801959991455,23.210895538330078,14.80137825012207,0.3011392652988434,0.1726558655500412,0.7894657850265503,-0.3088759183883667,1.231890082359314,-2.6281661987304688,1.1017992496490479,-2.269960641860962,-1.0,1.0,1.0,-1.0,3.8600564002990723,3.3717598915100098,3.862194117014426,3.5461414612866156,4.0,10.943133593701843,42.59009068543093,0.0
3675,6.626217842102051,12.654953002929688,35.065330505371094,18.447063446044922,-1.194422721862793,-0.43988168239593506,-1.140015721321106,-0.8496993184089661,-2.860685348510742,0.6311615705490112,-2.462948799133301,0.2569398283958435,1.0,-1.0,-1.0,1.0,-3.491847038269043,-2.719888687133789,3.572440051128642,2.7353387512697966,5.0,19.372274922042745,50.288911545036804,0.0
699,36.05120086669922,7.857625484466553,30.15116310119629,18.45078468322754,-0.032734215259552,-0.9247372150421143,-0.9326270222663879,-0.22666673362255096,2.330747127532959,-0.6112018823623657,-1.0405840873718262,2.3157784938812256,1.0,-1.0,1.0,-1.0,2.941948890686035,-3.3563625812530518,3.0742043892737323,3.429803155421384,6.0,36.91335439976067,49.886384661863744,0.0
730,38.428009033203125,24.377702713012695,4.0565009117126465,17.069120407104492,1.3912279605865479,0.36068013310432434,1.01693594455719,0.7628718614578247,1.9013279676437378,-1.2746611833572388,1.7057615518569946,-0.8619407415390015,-1.0,1.0,1.0,-1.0,3.1759891510009766,2.567702293395996,3.3390022422019534,2.580241001502026,7.0,69.51373667310187,16.101914871319767,0.0
3266,37.2127685546875,23.625202178955078,13.341041564941406,19.402175903320312,-0.7513402700424194,-0.4839688837528229,-1.2506662607192993,-0.30933332443237305,-0.3540038764476776,2.6096065044403076,-0.6263755559921265,2.880692481994629,-1.0,1.0,1.0,-1.0,-2.9636104106903076,-3.507068157196045,2.975646841370527,3.6312029351383033,8.0,59.59936886963988,35.32703353744058,0.0
674,12.631355285644531,13.75037670135498,18.860441207885742,10.212814331054688,-0.02920536696910858,-1.004421591758728,-1.1353256702423096,-0.22647038102149963,1.7406378984451294,2.5099990367889404,2.1727964878082275,1.748853087425232,1.0,-1.0,1.0,-1.0,-0.769361138343811,0.4239434003829956,1.2421607050711652,1.002868883575982,9.0,16.62926324981402,14.299218888880871,0.0
