,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
12753,65.2886962890625,7.490630626678467,34.229915618896484,32.06376266479492,0.5142367482185364,1.739766001701355,-0.7522913217544556,-0.07993710786104202,1.6404693126678467,-2.496823787689209,-1.337274193763733,-1.292176365852356,-1.0,1.0,1.0,-1.0,4.137292861938477,-0.04509782791137695,4.314987141405494,0.6738649813140707,0.0,48.38693367775128,22.74556447998077,1.0
114,42.242713928222656,6.815181732177734,59.1636848449707,13.492671012878418,-0.45217835903167725,-2.1059162616729736,-1.2741889953613281,-2.0962483882904053,-0.36865463852882385,0.7996904850006104,2.5426228046417236,2.9167375564575195,-1.0,1.0,-1.0,1.0,-1.1683450937271118,-0.3741147518157959,2.0248158703123225,0.9031851930966968,1.0,36.5270272357379,26.09528746729682,1.0
18234,49.551658630371094,41.31459045410156,35.75870132446289,20.500995635986328,0.23130422830581665,0.7954803109169006,2.1099088191986084,0.7132492065429688,-0.9244539737701416,-0.3600403964519501,2.805529832839966,-2.642561912536621,1.0,-1.0,1.0,-1.0,-0.5644135475158691,5.448091506958008,0.7980333983047557,5.624265209057214,2.0,36.11255097406888,46.47931879350152,1.0
7822,49.07792282104492,25.326539993286133,12.931922912597656,8.628946304321289,-0.0972268208861351,-0.6441543698310852,-0.6621233224868774,1.4013742208480835,2.0325729846954346,1.7789124250411987,-1.7554877996444702,-1.544748067855835,-1.0,1.0,-1.0,1.0,0.25366055965423584,-0.21073973178863525,0.6028875913208018,2.0742307841471654,3.0,21.46442193724209,25.971579696603577,1.0
2790,27.3757381439209,19.849145889282227,4.25048828125,4.15285587310791,-0.5289283990859985,-0.9872316122055054,-1.9906827211380005,-1.3131364583969116,0.17700976133346558,-0.12979727983474731,0.07691521942615509,-2.0506844520568848,1.0,-1.0,1.0,-1.0,0.3068070411682129,2.1275997161865234,0.551518264127361,2.232879192986354,4.0,12.918767689570407,7.8979983812108925,1.0
12386,45.88357925415039,13.337944984436035,23.87352752685547,15.991488456726074,-1.1732938289642334,-1.8396973609924316,-1.0883259773254395,0.7275902032852173,2.6544015407562256,2.494016647338867,-0.3239821195602417,-0.22891758382320404,1.0,-1.0,1.0,-1.0,0.1603848934173584,-0.09506453573703766,0.685431967109906,1.8184028269221575,6.0,17.253957775981974,40.603679727860175,1.0
2533,40.97715759277344,13.666123390197754,26.61355972290039,15.151409149169922,1.2423698902130127,1.009887933731079,1.186292290687561,1.992719292640686,0.04646646976470947,0.9094972014427185,3.0690665245056152,-1.9383635520935059,1.0,-1.0,-1.0,1.0,-0.863030731678009,5.007430076599121,0.8937952248196157,5.071950362681854,7.0,20.548682392936954,29.132759087942688,1.0
7156,58.80215072631836,18.245086669921875,23.8050479888916,11.134297370910645,0.7927171587944031,1.271340012550354,-0.3146599531173706,-0.004683308769017458,0.3620627820491791,0.511143684387207,-2.635491371154785,0.4784635007381439,-1.0,1.0,1.0,-1.0,-0.14908090233802795,-3.113954782485962,0.5013032531107403,3.129344963898729,8.0,16.56188712007967,32.94965545695679,1.0
12432,54.18876647949219,17.507049560546875,16.42205238342285,7.428825855255127,0.9603379368782043,0.9663135409355164,0.31608083844184875,-2.1107261180877686,2.3376216888427734,0.9485334753990173,-1.5461760759353638,-1.357049584388733,1.0,-1.0,-1.0,1.0,1.3890881538391113,-0.18912649154663086,1.3891010067594078,2.4341652962394145,9.0,39.427542104467825,33.94788728103242,1.0
4079,68.78301239013672,6.469125270843506,41.340518951416016,13.436714172363281,2.044755220413208,1.6784605979919434,1.1632905006408691,-0.20133087038993835,-0.02779100276529789,2.670985460281372,1.7381260395050049,-3.1240336894989014,1.0,-1.0,1.0,-1.0,-2.6987764835357666,4.862159729003906,2.7235209304318584,5.050028593776387,10.0,41.8855684315816,46.37272959888265,1.0
18632,35.10664749145508,17.455087661743164,53.00384521484375,10.641422271728516,0.9576481580734253,0.28133153915405273,0.6296667456626892,1.6658332347869873,-1.9701803922653198,-1.1489304304122925,1.601639747619629,-0.30028340220451355,-1.0,1.0,-1.0,1.0,-0.8212499618530273,1.9019231796264648,1.0638870564444944,2.1658607182512797,11.0,26.10985242312088,46.43865452865457,1.0
11547,112.80645751953125,11.518173217773438,25.664255142211914,17.287385940551758,0.9498107433319092,-0.3360860049724579,1.0023716688156128,1.2086926698684692,0.4434366524219513,0.8053759336471558,0.2284753918647766,0.7250804901123047,1.0,-1.0,1.0,-1.0,-0.36193928122520447,-0.4966050982475281,1.3358632292412955,0.5377592203587864,12.0,51.28049539294009,11.231159516589134,1.0
7407,112.80645751953125,17.287385940551758,25.664255142211914,11.518173217773438,0.9498107433319092,1.2086926698684692,1.0023716688156128,-0.3360860049724579,0.4434366524219513,0.7250804901123047,0.2284753918647766,0.8053759336471558,1.0,-1.0,1.0,-1.0,-0.2816438376903534,-0.5769005417823792,0.3825481710794485,1.457492112983556,12.0,16.884894004923073,26.63052531473823,1.0
7416,25.664255142211914,17.287385940551758,112.80645751953125,11.518173217773438,1.0023716688156128,1.2086926698684692,0.9498107433319092,-0.3360860049724579,0.2284753918647766,0.7250804901123047,0.4434366524219513,0.8053759336471558,1.0,-1.0,1.0,-1.0,-0.4966050982475281,-0.36193928122520447,0.5377592203587864,1.3358632292412955,12.0,11.231159516589134,51.28049539294009,1.0
13638,16.79853057861328,12.02155590057373,42.686309814453125,12.82087230682373,0.33570078015327454,1.3058290481567383,-1.4576815366744995,-0.7236824035644531,2.2464511394500732,-2.2137346267700195,0.5749747157096863,-1.5269087553024292,-1.0,1.0,-1.0,1.0,4.460186004638672,2.1018834114074707,4.5644723802623925,2.2263576986989775,13.0,26.648004152412213,44.24064929287054,1.0
12056,22.217384338378906,19.536287307739258,42.145423889160156,6.2317352294921875,1.9040166139602661,1.8498022556304932,1.830440878868103,1.3706626892089844,1.10102379322052,-0.3779328763484955,-3.016876459121704,0.9654741883277893,-1.0,1.0,1.0,-1.0,1.478956699371338,-3.9823505878448486,1.4799500380973916,4.008804333987184,14.0,28.102551665036845,30.530169096170624,1.0
981,40.91327667236328,12.999217987060547,25.377582550048828,6.035496234893799,1.6938716173171997,1.668055772781372,1.9199578762054443,2.371932029724121,2.2262279987335205,-3.0638511180877686,-0.49946653842926025,-2.9434256553649902,-1.0,1.0,1.0,-1.0,5.290079116821289,2.4439592361450195,5.290142107737543,2.4854008496392432,15.0,21.981118160165437,23.935753771609843,1.0
16811,19.20250701904297,17.896533966064453,36.341514587402344,3.203291893005371,0.1676538586616516,-0.14750124514102936,1.8017513751983643,1.6258437633514404,-2.2776567935943604,0.30813565850257874,-3.0449228286743164,2.2692744731903076,1.0,-1.0,-1.0,1.0,-2.5857925415039062,-5.314197540283203,2.6049272154434098,5.317108141185181,16.0,36.13300336312411,10.228698764854343,1.0
7137,77.71756744384766,13.157435417175293,53.22756576538086,8.45392894744873,-1.1243159770965576,-0.21801476180553436,-0.5519384741783142,-0.6457399129867554,-0.973432719707489,0.42611390352249146,2.0442512035369873,-3.035033702850342,1.0,-1.0,-1.0,1.0,-1.3995466232299805,5.07928466796875,1.6673669711321937,5.08015073085287,17.0,50.94716298270714,24.105843359209953,1.0
5104,45.38849639892578,12.646224975585938,30.415700912475586,21.505138397216797,0.7049152851104736,0.16102775931358337,1.2477703094482422,1.5651136636734009,-2.7285966873168945,-2.013815402984619,-0.2521871030330658,0.8910467624664307,-1.0,1.0,1.0,-1.0,-0.7147812843322754,-1.1432338953018188,0.8981792096964493,1.1864613537059876,18.0,21.330896055331323,28.84733952632444,1.0
2749,153.95433044433594,11.015275001525879,65.6763916015625,38.7166633605957,-0.24487188458442688,-0.8909499645233154,-0.871890664100647,-0.3642318844795227,1.9220919609069824,1.4040371179580688,0.5794684290885925,1.2256410121917725,1.0,-1.0,-1.0,1.0,0.5180548429489136,-0.6461725831031799,0.8281290625196049,0.8217398880915087,19.0,34.3203931164364,41.16777538930632,1.0
2057,25.559785842895508,6.484251976013184,28.632719039916992,15.066646575927734,0.8773359656333923,2.08125376701355,-0.9302881956100464,-1.589993953704834,-2.379014253616333,-0.8280425667762756,1.6685148477554321,0.2063964158296585,-1.0,1.0,-1.0,1.0,-1.5509717464447021,1.46211838722229,1.9633978932533211,1.604057937082364,20.0,24.404423964668524,31.04632268089374,1.0
398,26.52109718322754,22.34652328491211,20.996967315673828,21.119701385498047,-1.1330482959747314,-2.1334455013275146,-0.2777368128299713,-1.0979771614074707,-2.117006540298462,3.0851800441741943,1.193910837173462,1.1055580377578735,-1.0,1.0,1.0,-1.0,-5.202186584472656,0.08835279941558838,5.297503169243501,0.8249851486476859,22.0,35.664477291337896,17.858243412051838,1.0
8998,19.115463256835938,7.333590984344482,43.57558059692383,13.909552574157715,1.2858787775039673,1.1191260814666748,-0.7502202391624451,-0.4393261969089508,-1.197317361831665,-2.320207118988037,0.930783212184906,2.574854850769043,1.0,-1.0,1.0,-1.0,1.122889757156372,-1.6440715789794922,1.1352038884545814,1.673208433613947,23.0,12.761447444547855,36.87870071824736,1.0
9240,107.54622650146484,21.59163475036621,18.3110294342041,17.734142303466797,2.25119948387146,1.5589816570281982,1.171297311782837,1.7948880195617676,2.1032211780548096,2.1129021644592285,-0.09378121048212051,-1.787371277809143,1.0,-1.0,1.0,-1.0,-0.009680986404418945,1.6935900449752808,0.6922855200691189,1.8047472430419726,24.0,34.02987926252551,29.316072437127062,1.0
274,66.24005889892578,13.38645076751709,41.89607620239258,3.7012345790863037,-0.37725111842155457,0.037161558866500854,-0.9846644401550293,0.9484627842903137,0.5747343897819519,-0.5591779947280884,-1.8526382446289062,-2.5932517051696777,-1.0,1.0,1.0,-1.0,1.1339123249053955,0.7406134605407715,1.2072675874342909,2.070142249551758,25.0,34.31529682874726,29.414698625333823,1.0
2069,34.60475540161133,3.517751932144165,38.8798942565918,23.403451919555664,1.4057570695877075,0.8329630494117737,0.744586169719696,1.0786428451538086,-1.069434404373169,0.6997431516647339,1.979340672492981,1.601401448249817,-1.0,1.0,-1.0,1.0,-1.7691775560379028,0.37793922424316406,1.859591948341774,0.5044124499094136,26.0,18.234226723875928,15.196113401668919,1.0
8526,25.682273864746094,9.362709999084473,43.67634582519531,12.957183837890625,-0.9173340201377869,-1.8150718212127686,0.007994020357728004,0.18916277587413788,0.6171902418136597,-0.7635225653648376,-2.335474967956543,1.9494911432266235,-1.0,1.0,1.0,-1.0,1.3807127475738525,-4.284965991973877,1.6469064487067504,4.288794197478275,27.0,24.437853121984347,40.244886179703784,1.0
21726,54.695316314697266,14.735838890075684,47.09510040283203,30.336477279663086,-0.1281636655330658,-0.9425710439682007,-0.805834949016571,-0.733700156211853,-1.4218764305114746,-0.9000189900398254,1.9951543807983398,1.7615901231765747,1.0,-1.0,1.0,-1.0,-0.5218574404716492,0.23356425762176514,0.9672613492137212,0.24444977146928543,28.0,27.9167199380779,9.220759417945086,1.0
18276,78.91142272949219,46.189544677734375,16.790863037109375,15.608537673950195,-1.61678147315979,-1.5745748281478882,-1.8003058433532715,-1.4137110710144043,0.5247055292129517,0.7472140192985535,2.061899423599243,2.637816905975342,1.0,-1.0,-1.0,1.0,-0.2225084900856018,-0.5759174823760986,0.2264761114186992,0.6936400107448851,29.0,13.645834835195355,11.14498314918944,1.0
7227,78.91142272949219,16.790863037109375,46.189544677734375,15.608537673950195,-1.61678147315979,-1.8003058433532715,-1.5745748281478882,-1.4137110710144043,0.5247055292129517,2.061899423599243,0.7472140192985535,2.637816905975342,1.0,-1.0,-1.0,1.0,-1.5371938943862915,-1.8906028270721436,1.548110546244488,1.8974341090252071,29.0,51.046110227024954,43.7482393783162,1.0
2071,50.000553131103516,10.591724395751953,63.54545211791992,11.413786888122559,1.7406195402145386,2.310947895050049,0.8781522512435913,1.8979227542877197,-2.23471736907959,2.7348721027374268,0.5160859227180481,1.3424667119979858,1.0,-1.0,1.0,-1.0,-4.9695892333984375,-0.8263807892799377,5.002208670281464,1.312568888771103,30.0,31.092417085811377,35.91216362831749,1.0
17566,38.33541488647461,37.30727767944336,12.18486213684082,6.8711137771606445,-1.7130032777786255,-1.8794344663619995,-0.8628512024879456,-1.4501688480377197,2.4081623554229736,2.524996519088745,-0.6354029178619385,-2.363825798034668,1.0,-1.0,1.0,-1.0,-0.11683416366577148,1.7284228801727295,0.20334591791514992,1.8254828592673018,31.0,7.694613279622773,14.948299050986378,1.0
2262,42.30964660644531,19.540742874145508,53.827274322509766,18.17002296447754,-0.31601622700691223,0.21197590231895447,0.10655105113983154,0.35054829716682434,-0.510526180267334,-0.4133806824684143,2.4762122631073,2.7693848609924316,-1.0,1.0,1.0,-1.0,-0.09714549779891968,-0.29317259788513184,0.5368546696943808,0.3814247346718276,32.0,15.610305915343758,11.915516521395395,1.0
7732,37.04049301147461,17.58034896850586,16.04422378540039,14.052970886230469,-1.7929739952087402,-0.5695798993110657,0.24224147200584412,-0.2677736282348633,0.6722934246063232,1.4325429201126099,-2.613844394683838,-0.22854891419410706,1.0,-1.0,1.0,-1.0,-0.7602494955062866,-2.3852953910827637,1.440372366832548,2.439210842791882,33.0,38.22305400379434,28.9632957504664,1.0
12588,85.40412902832031,6.411461353302002,30.39046287536621,11.80373477935791,1.7042156457901,0.6482366323471069,1.2987416982650757,1.73926842212677,-2.656550645828247,-2.3393590450286865,0.04386605694890022,0.5668906569480896,1.0,-1.0,1.0,-1.0,-0.31719160079956055,-0.5230246186256409,1.1025888573941898,0.6838264005760633,34.0,26.909212550619884,12.909724169066934,1.0
19512,61.66851806640625,17.91677474975586,30.383928298950195,5.203805446624756,-0.43478110432624817,-0.943606972694397,-0.7164356708526611,0.9061638712882996,-2.619600534439087,2.468548536300659,0.4666096866130829,-2.701632499694824,1.0,-1.0,1.0,-1.0,-5.088149070739746,3.1682422161102295,5.113527623932302,3.5595769703053275,35.0,41.123445378562195,33.887386149620156,1.0
4949,61.66851806640625,5.203805446624756,30.383928298950195,17.91677474975586,-0.43478110432624817,0.9061638712882996,-0.7164356708526611,-0.943606972694397,-2.619600534439087,-2.701632499694824,0.4666096866130829,2.468548536300659,1.0,-1.0,1.0,-1.0,0.0820319652557373,-2.001938819885254,1.3434518044485884,2.014786797391732,35.0,25.904008808434053,39.64824245764095,1.0
4342,36.32102584838867,29.890758514404297,39.88473129272461,6.553006649017334,1.3878841400146484,1.4471274614334106,1.4252575635910034,-0.16976629197597504,2.7879550457000732,2.90017032623291,0.07652900367975235,0.34898263216018677,-1.0,1.0,1.0,-1.0,-0.11221528053283691,-0.272453635931015,0.12689381512820103,1.618126117178508,36.0,4.179485315835822,28.94316488094317,1.0
17749,43.73153305053711,40.02738952636719,50.676597595214844,18.572763442993164,-0.7753453850746155,-0.956806480884552,-0.6840289831161499,-1.922232985496521,-0.034775346517562866,0.20239651203155518,-2.913095474243164,2.6005780696868896,1.0,-1.0,-1.0,1.0,-0.23717185854911804,-5.513673782348633,0.2986278951809188,5.650995286643712,37.0,12.482037926160036,46.55556472852064,1.0
4223,33.770851135253906,29.35433578491211,18.136402130126953,11.052327156066895,0.888309121131897,0.6745089888572693,-0.893918514251709,0.2435169816017151,-2.648030996322632,-1.5012916326522827,0.30649301409721375,2.1878483295440674,-1.0,1.0,-1.0,1.0,-1.1467393636703491,-1.8813552856445312,1.1664997491434472,2.198466984618388,38.0,34.81878370679108,28.49450683125128,1.0
6213,52.55601501464844,21.607986450195312,46.17170715332031,6.022465705871582,2.2575137615203857,1.6808581352233887,1.1622395515441895,1.7398217916488647,2.226959228515625,1.4961601495742798,0.26521435379981995,-2.11095929145813,1.0,-1.0,1.0,-1.0,0.7307990789413452,2.376173734664917,0.9309129954627878,2.4453635438101538,39.0,31.11591318850557,32.44273433556218,1.0
20827,52.55601501464844,6.022465705871582,46.17170715332031,21.607986450195312,2.2575137615203857,1.7398217916488647,1.1622395515441895,1.6808581352233887,2.226959228515625,-2.11095929145813,0.26521435379981995,1.4961601495742798,1.0,-1.0,1.0,-1.0,4.337918281555176,-1.2309458255767822,4.3687000346922495,1.335736823196218,39.0,30.84354452512556,40.05771525469902,1.0
5244,46.17170715332031,21.607986450195312,52.55601501464844,6.022465705871582,1.1622395515441895,1.6808581352233887,2.2575137615203857,1.7398217916488647,0.26521435379981995,1.4961601495742798,2.226959228515625,-2.11095929145813,1.0,-1.0,1.0,-1.0,-1.2309458255767822,4.337918281555176,1.335736823196218,4.3687000346922495,39.0,40.05771525469902,30.84354452512556,1.0
2384,58.02924728393555,6.688722133636475,46.59274673461914,17.71831703186035,-0.355423241853714,-1.0001527070999146,-1.6726486682891846,-1.4083764553070068,-1.0748791694641113,-1.8365126848220825,1.8247171640396118,1.7401803731918335,1.0,-1.0,1.0,-1.0,0.7616335153579712,0.08453679084777832,0.9978786166173039,0.27746400047814945,40.0,19.531703911137814,7.993022160481795,1.0
6954,44.24528503417969,10.978524208068848,61.825439453125,7.203563690185547,-0.5247299075126648,-0.4903221130371094,0.6261330842971802,1.4698318243026733,-2.812751054763794,-0.4534919559955597,-0.2681542634963989,2.7490017414093018,-1.0,1.0,1.0,-1.0,-2.3592591285705566,-3.0171561241149902,2.3595100194879812,3.1328993985079454,41.0,40.756892927424836,45.94394349173872,1.0
13061,30.65997314453125,10.567413330078125,32.701534271240234,11.33655834197998,2.234692096710205,1.7958139181137085,0.2076743096113205,0.49249720573425293,-0.9771299958229065,-0.39409053325653076,-2.946603298187256,-1.2094275951385498,1.0,-1.0,1.0,-1.0,-0.5830394625663757,-1.737175703048706,0.7297595977840008,1.7603702726785173,42.0,13.056316980124,29.908478202278967,1.0
3978,28.54302978515625,9.858916282653809,19.646358489990234,18.8411922454834,-1.0457839965820312,-1.7244393825531006,0.028648829087615013,-0.6144139170646667,-2.453273057937622,-0.7849223017692566,-0.19504952430725098,0.8906518220901489,1.0,-1.0,-1.0,1.0,-1.6683506965637207,-1.0857013463974,1.8011016572176577,1.261854643055523,43.0,27.427762114463903,23.527347607888768,1.0
3474,30.912782669067383,7.962139129638672,32.07472229003906,16.425132751464844,-2.008537530899048,-1.0851221084594727,0.20715560019016266,0.5748633146286011,2.3759303092956543,-0.07774502784013748,-0.737719714641571,-2.836693048477173,-1.0,1.0,1.0,-1.0,2.4536752700805664,2.098973274230957,2.621682355550382,2.130938239403458,44.0,33.132934805327565,40.70264627953422,1.0
7317,51.52839279174805,48.03192901611328,29.78384780883789,9.338356971740723,1.4345186948776245,1.0137118101119995,0.42251935601234436,-0.594965398311615,-2.0115458965301514,-1.5764005184173584,0.43068182468414307,-0.9794875383377075,1.0,-1.0,-1.0,1.0,-0.43514537811279297,1.4101693630218506,0.6053345639884407,1.738922919031766,45.0,30.101069559369286,27.94558038082682,1.0
15397,37.0622444152832,7.338891983032227,28.94659996032715,18.449670791625977,0.45812156796455383,-1.7682448625564575,-1.2006359100341797,-1.031192660331726,1.0359843969345093,0.7398990392684937,-1.6962743997573853,2.688955307006836,-1.0,1.0,-1.0,1.0,0.2960853576660156,-4.385229587554932,2.2459684815420786,4.388501971110065,46.0,45.04868259360678,37.77197961511917,1.0
19668,76.56721496582031,13.055989265441895,49.510894775390625,13.589524269104004,-0.9870762825012207,-0.9837710857391357,-1.5379467010498047,-2.029918670654297,-1.4423407316207886,-2.7965104579925537,1.5698977708816528,1.0719634294509888,-1.0,1.0,-1.0,1.0,1.3541697263717651,0.49793434143066406,1.354173759953802,0.6999821620959441,47.0,39.61824888711252,18.1538553366903,1.0
22026,58.46179962158203,8.913338661193848,24.847984313964844,14.53364372253418,-0.9527187943458557,0.0057411580346524715,-2.3399453163146973,-1.229030966758728,2.757185935974121,1.2862962484359741,0.46545979380607605,-1.117614984512329,1.0,-1.0,-1.0,1.0,1.470889687538147,1.5830748081207275,1.7556087244576757,1.9339742863222977,48.0,38.140735485820336,34.993986574261996,1.0
13426,18.40409278869629,6.723731517791748,43.70224380493164,13.093420028686523,-0.485160768032074,-0.29200226068496704,-0.008874258026480675,-0.12767426669597626,1.0679335594177246,1.6987348794937134,-1.1766072511672974,-1.3344719409942627,-1.0,1.0,1.0,-1.0,-0.6308013200759888,0.15786468982696533,0.6597124482455765,0.19757201702536642,49.0,7.2290504593009866,4.723989473470792,1.0
11295,33.492069244384766,9.131823539733887,7.768543720245361,7.493279933929443,-0.49722814559936523,0.367275208234787,-1.0878596305847168,-0.8745847940444946,-2.6246237754821777,-1.871720314025879,-0.06822753697633743,-1.5214154720306396,-1.0,1.0,1.0,-1.0,-0.7529034614562988,1.4531879425048828,1.1463985880102043,1.4687550347633989,50.0,20.21156807737821,10.267461427537905,1.0
