,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
1620,65.2886962890625,34.229915618896484,7.490630626678467,32.06376266479492,0.5142367482185364,-0.7522913217544556,1.739766001701355,-0.07993710786104202,1.6404693126678467,-1.337274193763733,-2.496823787689209,-1.292176365852356,-1.0,1.0,1.0,-1.0,2.977743625640869,-1.204647421836853,3.235900277056797,2.182314090770058,0.0,113.88542440083064,36.726720261763425,0.0
9940,59.1636848449707,6.815181732177734,42.242713928222656,13.492671012878418,-1.2741889953613281,-2.1059162616729736,-0.45217835903167725,-2.0962483882904053,2.5426228046417236,0.7996904850006104,-0.36865463852882385,2.9167375564575195,-1.0,1.0,-1.0,1.0,1.7429323196411133,-3.2853922843933105,1.931212913268704,3.6737948668179463,1.0,35.212738472758936,64.7189428078135,0.0
21249,35.75870132446289,41.31459045410156,49.551658630371094,20.500995635986328,2.1099088191986084,0.7954803109169006,0.23130422830581665,0.7132492065429688,2.805529832839966,-0.3600403964519501,-0.9244539737701416,-2.642561912536621,1.0,-1.0,1.0,-1.0,3.1655702590942383,1.7181079387664795,3.4276168871882007,1.7844231144267353,2.0,94.07636060694509,50.699978008328856,0.0
20311,49.07792282104492,8.628946304321289,12.931922912597656,25.326539993286133,-0.0972268208861351,1.4013742208480835,-0.6621233224868774,-0.6441543698310852,2.0325729846954346,-1.544748067855835,-1.7554877996444702,1.7789124250411987,-1.0,1.0,-1.0,1.0,3.5773210525512695,-3.534400224685669,3.878534659761066,3.534445901625551,3.0,52.51445931011074,35.50070289444611,0.0
21387,27.3757381439209,4.15285587310791,4.25048828125,19.849145889282227,-0.5289283990859985,-1.3131364583969116,-1.9906827211380005,-0.9872316122055054,0.17700976133346558,-2.0506844520568848,0.07691521942615509,-0.12979727983474731,1.0,-1.0,1.0,-1.0,2.227694272994995,0.2067124992609024,2.3616951653892353,1.0245214421223905,4.0,20.97135399143269,9.793672905178695,0.0
6383,61.35748291015625,7.171598434448242,20.726255416870117,7.226482391357422,0.5287667512893677,0.8638709187507629,0.8257653117179871,1.9114725589752197,-0.598214864730835,-1.9454078674316406,1.360893964767456,-0.5301771759986877,1.0,-1.0,1.0,-1.0,1.3471930027008057,1.891071081161499,1.388244859373161,2.180575596333641,5.0,27.107023199848648,24.258093771444052,0.0
7972,23.87352752685547,13.337944984436035,45.88357925415039,15.991488456726074,-1.0883259773254395,-1.8396973609924316,-1.1732938289642334,0.7275902032852173,-0.3239821195602417,2.494016647338867,2.6544015407562256,-0.22891758382320404,1.0,-1.0,1.0,-1.0,-2.8179988861083984,2.883319139480591,2.916449327230258,3.453532881580256,6.0,37.80250438920625,80.24064295292662,0.0
3051,40.97715759277344,26.61355972290039,13.666123390197754,15.151409149169922,1.2423698902130127,1.186292290687561,1.009887933731079,1.992719292640686,0.04646646976470947,3.0690665245056152,0.9094972014427185,-1.9383635520935059,1.0,-1.0,-1.0,1.0,-3.0226001739501953,2.847860813140869,3.0231203265388378,3.0126846318656515,7.0,65.95604069882955,32.049135822876416,0.0
17230,58.80215072631836,23.8050479888916,18.245086669921875,11.134297370910645,0.7927171587944031,-0.3146599531173706,1.271340012550354,-0.004683308769017458,0.3620627820491791,-2.635491371154785,0.511143684387207,0.4784635007381439,-1.0,1.0,1.0,-1.0,2.997554063796997,0.03268018364906311,3.195561656636016,1.2764416855721477,8.0,86.42592801687628,19.451883219932423,0.0
6533,7.428825855255127,17.507049560546875,16.42205238342285,54.18876647949219,-2.1107261180877686,0.9663135409355164,0.31608083844184875,0.9603379368782043,-1.357049584388733,0.9485334753990173,-1.5461760759353638,2.3376216888427734,1.0,-1.0,-1.0,1.0,-2.3055830001831055,-3.8837976455688477,3.8449819766478983,3.9368707525407842,9.0,54.789112918711275,58.93864048537262,0.0
18666,68.78301239013672,13.436714172363281,41.340518951416016,6.469125270843506,2.044755220413208,-0.20133087038993835,1.1632905006408691,1.6784605979919434,-0.02779100276529789,-3.1240336894989014,1.7381260395050049,2.670985460281372,1.0,-1.0,1.0,-1.0,3.096242666244507,-0.9328594207763672,3.825130260455115,1.0656579789669547,10.0,103.33832467686571,16.996972317259434,0.0
4481,53.00384521484375,17.455087661743164,35.10664749145508,10.641422271728516,0.6296667456626892,0.28133153915405273,0.9576481580734253,1.6658332347869873,1.601639747619629,-1.1489304304122925,-1.9701803922653198,-0.30028340220451355,-1.0,1.0,-1.0,1.0,2.750570297241211,-1.6698969602584839,2.772539337170713,1.813858307795931,11.0,60.61749077663679,31.88131440797009,0.0
11547,112.80645751953125,11.518173217773438,25.664255142211914,17.287385940551758,0.9498107433319092,-0.3360860049724579,1.0023716688156128,1.2086926698684692,0.4434366524219513,0.8053759336471558,0.2284753918647766,0.7250804901123047,1.0,-1.0,1.0,-1.0,-0.36193928122520447,-0.4966050982475281,1.3358632292412955,0.5377592203587864,12.0,51.28049539294009,11.231159516589134,0.0
17531,42.686309814453125,12.02155590057373,16.79853057861328,12.82087230682373,-1.4576815366744995,1.3058290481567383,0.33570078015327454,-0.7236824035644531,0.5749747157096863,-2.2137346267700195,2.2464511394500732,-1.5269087553024292,-1.0,1.0,-1.0,1.0,2.7887094020843506,3.773359775543213,3.9260529212709585,3.919252053962245,13.0,95.56009055586216,32.30365627987758,0.0
5121,22.217384338378906,42.145423889160156,19.536287307739258,6.2317352294921875,1.9040166139602661,1.830440878868103,1.8498022556304932,1.3706626892089844,1.10102379322052,-3.016876459121704,-0.3779328763484955,0.9654741883277893,-1.0,1.0,1.0,-1.0,4.117900371551514,-1.3434070348739624,4.118557618732369,1.4262949153171103,14.0,54.0987739107292,14.733879861259844,0.0
12295,6.035496234893799,12.999217987060547,25.377582550048828,40.91327667236328,2.371932029724121,1.668055772781372,1.9199578762054443,1.6938716173171997,-2.9434256553649902,-3.0638511180877686,-0.49946653842926025,2.2262279987335205,-1.0,1.0,1.0,-1.0,0.12042546272277832,-2.7256946563720703,0.7141036879611602,2.735055091992361,15.0,6.452809655240791,63.47755373976379,0.0
9476,19.20250701904297,36.341514587402344,17.896533966064453,3.203291893005371,0.1676538586616516,1.8017513751983643,-0.14750124514102936,1.6258437633514404,-2.2776567935943604,-3.0449228286743164,0.30813565850257874,2.2692744731903076,1.0,-1.0,-1.0,1.0,0.767266035079956,-1.9611388444900513,1.8052623235802534,2.6440155131283047,16.0,52.037354989088605,19.774989078157642,0.0
7137,77.71756744384766,13.157435417175293,53.22756576538086,8.45392894744873,-1.1243159770965576,-0.21801476180553436,-0.5519384741783142,-0.6457399129867554,-0.973432719707489,0.42611390352249146,2.0442512035369873,-3.035033702850342,1.0,-1.0,-1.0,1.0,-1.3995466232299805,5.07928466796875,1.6673669711321937,5.08015073085287,17.0,50.94716298270714,24.105843359209953,0.0
